NAME,LATITUDE,LONGITUDE
BURNS SUBSTATION,26.2190962,-97.7343315
OAK RIDGE SUBSTATION,30.1699136,-95.4389589
ÁVALOS,28.6135177,-105.9965126
DIVISIÓN DEL NORTE,28.5857265,-106.1641678
CHUVISCAR,28.6398315,-105.9500403
CHIHUAHUA NORTE,28.7297913,-106.1335236
REFORMA,31.5865564,-106.4628961
CERESO,31.4972448,-106.4714966
LEHIGH SUBSTATION,30.0290386,-97.8659726
GEORGETOWN SUBSTATION,30.6324914,-97.6871118
GABRIEL SUBSTATION,30.6672682,-97.6608735
NUEVO ESCOBEDO,25.8475862,-100.3700104
SUBESTACIÓN ESCOBEDO,25.8652654,-100.3671097
HAYS ENERGY STATION,29.7830335,-97.9900918
SOMERSET SUBSTATION,29.2420977,-98.6493785
MOORE SUBSTATION,29.0794353,-99.0484847
PEARSALL SWITCHYARD,28.9274245,-99.0925134
ROBINSON NORTHWEST SUBSTATION,31.4732405,-97.1411724
GROESBECK SUBSTATION,31.4375922,-96.6774039
BUSINESS PARK SUBSTATION,30.7091738,-96.422453
FARRAR SUBSTATION,31.3841504,-96.2819595
RATTLESNAKE ROAD SUBSTATION,31.4734853,-96.9603916
CAMPBELL SUBSTATION,29.8182419,-95.5246715
ADDICKS SUBSTATION,29.8228032,-95.5728974
BRITTMOORE SUBSTATION,29.7943435,-95.5721564
SATSUMA SUBSTATION,29.8813883,-95.5763761
WILLOW SUBSTATION,29.9968733,-95.5665393
SAN FELIPE SUBSTATION,29.7505822,-95.4478925
EUREKA SUBSTATION,29.7948339,-95.4334765
SAUER SUBSTATION,29.7887191,-95.5528466
KLEIN SUBSTATION,30.0239064,-95.5701648
MINERVA SUBSTATION,30.7457911,-96.9544273
WEBBERVILLE SUBSTATION,30.2488051,-97.4879471
AUSTROP SUBSTATION,30.2513041,-97.4872937
SIM GIDEON STATION,30.1461059,-97.2688035
TOMBALL SUBSTATION,30.0901007,-95.6060292
ROTHWOOD SUBSTATION,30.0903807,-95.4895404
KUYKENDAHL SUBSTATION,30.0891469,-95.5270774
CAMERON SUBSTATION,29.9187179,-95.6499714
WESTFIELD SUBSTATION,30.0206375,-95.4220897
PINEHURST SUBSTATION,30.1614128,-95.6729672
LOUETTA SUBSTATION,30.0454378,-95.4804021
FLEWELLEN SUBSTATION,29.6953981,-95.820883
FORT BEND SUBSTATION,29.5632261,-95.8004768
BRAZOS VALLEY SUBSTATION,29.6270465,-95.8124607
ORCHARD SUBSTATION,29.5392589,-95.95376
TREASCHWIG SUBSTATION,30.0438999,-95.3508865
HARDY SUBSTATION,29.8185735,-95.3534862
NORTH SIDE SUBSTATION,29.7841373,-95.3496384
CATERPILLAR SUBSTATION,29.5792794,-97.9971938
SEGUIN WEST SUBSTATION,29.5862457,-97.9875906
AIRLINE SUBSTATION,29.8186773,-95.3893762
TODD SUBSTATION,29.8160181,-95.4830228
WHITE OAK SUBSTATION,29.8151787,-95.4348148
HOCKLEY SUBSTATION,30.0212835,-95.846097
HILLCROFT SUBSTATION,29.7221085,-95.4976958
JEANETTA SUBSTATION,29.7187995,-95.5366904
WESTWOOD SUBSTATION,29.6899472,-95.5366805
MISSOURI CITY SUBSTATION,29.6126531,-95.530058
ROARK SUBSTATION,29.666047,-95.5613297
KNIGHT SUBSTATION,29.6722539,-95.4130889
STAFFORD SUBSTATION,29.6337267,-95.5891895
ALIEF SUBSTATION,29.7004245,-95.5817828
HAYES SUBSTATION,29.746348,-95.5743745
DEIHL SUBSTATION,29.8547026,-95.4760945
FAIRBANKS SUBSTATION,29.899978,-95.5018544
HUMBLE SUBSTATION,30.0000713,-95.2350614
CROSBY SUBSTATION,29.8728314,-95.0197543
HANEY SUBSTATION,29.8210542,-94.9908159
BRAYS SUBSTATION,29.6837536,-95.4478357
JACINTO SUBSTATION,30.370432,-95.063857
FIVE POINTS SUBSTATION,29.4373425,-98.5068294
LAREDO STREET SUBSTATION,29.4153412,-98.5016282
FERN STREET SWITCHYARD,29.4047923,-98.4795029
MAY AVE SUBSTATION,35.4914943,-97.5661741
ENCINO PARK SUBSTATION,29.6156122,-98.4696589
MESCALERO SUB,33.2712794,-105.7077611
NACOGDOCHES ROAD SUBSTATION,29.5315728,-98.4243193
ALL SAINTS SUB,35.1800072,-106.6716431
SANDIA SUBSTATION,35.0514453,-106.5305049
SUBSTATION 41,35.0513544,-106.5342811
KIRTLAND SUBSTATION,35.0317595,-106.5452274
ZENITH SUBSTATION,29.9100662,-95.7771886
BA SUB,35.3486253,-106.4829456
PACHMANN SUBSTATION,35.3106409,-106.6159734
LIBRA SUB,35.3038052,-106.6273891
VOLCAN SUB,35.3374186,-106.5835587
RIO HONDO SUBSTATION,35.2659573,-106.6269186
IRVING SUB,35.1883953,-106.6626877
INTEL SUBSTATION,35.2255259,-106.653552
NORTON SUBSTATION,35.7641213,-106.1088965
BUCKMAN UNIT SUBSTATION,35.7758615,-106.1152556
INDUSTRIAL SUB,35.6630184,-105.9906942
REEVES SUBSTATION,35.1713847,-106.602705
WESTERN SUBSTATION,35.5011317,-97.5304046
PECAN BAYOU SUBSTATION,32.3664564,-99.5265684
PLEASANT VALLEY SUBSTATION,35.2744131,-97.5112465
WESTING HOUSE SUBSTATION,35.27877,-97.4783021
SARA SUBSTATION,35.4030155,-97.7075278
TURNER SUBSTATION,35.3012214,-97.511429
SOUTHGATE SUBSTATION,35.3348515,-97.5171022
WEST NORMAN SUBSTATION,35.2295583,-97.4950863
ESKOTA SWITCHING STATION,32.4921728,-100.2425639
STUBBEMAN SUBSTATION,35.2467172,-97.4549364
CHERRY CREEK SUBSTATION,35.2162338,-97.5111763
BOYD SUBSTATION,35.2119602,-97.4755592
SUNCHASE SUBSTATION,26.0903145,-97.1653064
OKLAHOMA GAS ELECTRIC,35.4718806,-97.5283244
DOWNIE SUBSTATION,29.2269671,-99.6995443
DALLAM COUNTY SUBSTATION,36.0803422,-102.5317331
DALHART SUBSTATION,36.0648539,-102.5288106
CLASSEN SUBSTATION,35.4712481,-97.5282996
LEWISVILLE SUBSTATION,33.0661705,-97.0097294
DAWSON SUBSTATION,36.1697712,-95.8674828
PINE & PEORIA SUBSTATION,36.1761487,-95.9763913
HORSE HOLLOW 1 & 2 SUBSTATION,32.1990508,-100.0235081
HORSE HOLLOW KENDALL TIE,32.190205,-100.0170167
BLUFF CREEK SUBSTATION,32.1965145,-100.0230566
HORSE HOLLOW 2 & 3 SWITCHING STATION,32.1935548,-100.0282036
EUFAULA SUBSTATION,35.3068547,-95.3558671
TALLEY ROAD SUBSTATION,29.5235467,-98.8099031
BERGHEIM SUBSTATION,29.7887361,-98.5263178
FAIR OAKS SUBSTATION,29.7949266,-98.5933588
ANTLER SUBSTATION,29.7768041,-98.4133703
KENDALL SUBSTATION,29.984921,-98.8867022
BOERNE SUBSTATION,29.804201,-98.7257622
COMFORT SUBSTATION,29.9779976,-98.9032017
WELFARE SUBSTATION,29.8868161,-98.7606541
HORSE HOLLOW GENERATION TIE,29.9879896,-98.8876517
CLEAR SPRINGS SUBSTATION,29.6512077,-98.0172553
LOCKHART SUBSTATION,29.8708131,-97.6612579
VENUS SUBSTATION,32.4440116,-97.0727234
BETKA SUBSTATION,30.01775,-95.8612001
PORTER SUBSTATION,30.1862924,-95.3422743
PARKWAY SUBSTATION,30.0906313,-95.1063575
TAMINA SUBSTATION,30.1870441,-95.3466658
NEW CANEY SUBSTATION,30.1349225,-95.2196076
ALDINE SUBSTATION,29.9017322,-95.3703857
BERRY SUBSTATION,29.8394708,-95.3537024
LIBERTY SUBSTATION,29.8070043,-95.2855224
HITCHLAND SUBSTATION,36.4965071,-101.3917089
ECHO SUBSTATION,29.7854088,-95.5206943
LIDDELL SUBSTATION,35.2252108,-97.3973007
BLUFFS SUBSTATION,31.4355093,-100.5072218
OU BROOKE ST. SUBSTATION,35.2069795,-97.4355733
MILLENNIUM SUBSTATION,35.2480553,-97.4154847
SOONER SUBSTATION,36.4474975,-97.0567585
BROWNWOOD SOUTH SUBSTATION,31.6760453,-98.9818963
SOUTH BEAUMONT SUBSTATION,30.0334034,-94.0759068
PASO DEL NORTE,31.7315206,-106.5375199
GOODRICH SUBSTATION,30.620325,-94.9679916
SHEPHERD SUBSTATION,30.5376041,-94.9649205
PRC TRANSFORMER HOUSE #6,30.3895823,-97.7253007
TIKI ISLAND SUBSTATION,29.304148,-94.90105
PARSONS STREET SUBSTATION,29.4121069,-98.4795019
CYPRESS SUBSTATION,30.3035855,-94.2572694
EAGLE CREEK SUBSTATION,29.2248161,-98.253865
WOODRING SUBSTATION,36.3307128,-97.7897491
NORTHEASTERN (345KV),36.4265852,-95.7041923
NORTHEASTERN (138KV),36.4314431,-95.7037118
ROCKY CREEK SUBSTATION,32.5957146,-97.4398785
DOBBIN SUBSTATION,30.3511747,-95.7815511
SINGLETON SUBSTATION,30.6613136,-95.9732903
DESSAU SUBSTATION,30.3734836,-97.643015
GILLELAND CREEK SUBSTATION,30.4101324,-97.5742216
ENID SUBSTATION,36.3702319,-97.8750435
MARSHALL SUBSTATION,36.1602626,-97.7045983
WAUKOMIS SUBSTATION,36.2786771,-97.9072447
IMO SUBSTATION,36.3769318,-97.9519472
HENESSEY,36.1069137,-97.9072358
VANCE SUBSTATION,36.3469117,-97.9001096
RYE SUBSTATION,30.4524676,-94.7656396
HILL COUNTRY SUBSTATION,29.6194511,-98.5718361
TONTITOWN SUBSTATION,36.1853122,-94.2818572
MEMORIAL SUBSTATION,35.5955672,-97.5054444
NOTREES SUBSTATION,31.997625,-102.833497
PANTHER CREEK WIND 3 SUBSTATION,31.9825518,-101.1358764
ARAGONNE WIND SUBSTATION,34.829117,-105.0010866
MOORELAND,36.4364614,-99.2260075
OJO CALIENTE SUB,36.3268071,-106.0305824
LITTLE AXE SUBSTATION,35.1524773,-97.2129286
ELM CREEK SUBSTATION,35.3285106,-97.3700371
PINK SOUTHWEST SUBSTATION,35.2486819,-97.1321708
HORSESHOE LAKE SUBSTATION,35.512782,-97.1841802
ETOWAH SUBSTATION,35.1304025,-97.177615
BROADVIEW SUBSTATION,29.4790491,-98.5862856
36TH & LEWIS SUBSTATION,36.111866,-95.9574067
DIABLO SUBSTATION,31.8048573,-106.587441
NEWMAN SUBSTATION,31.9839419,-106.4348695
LEXINGTON,35.0193238,-97.2473364
OJO SUBSTATION,36.1113985,-106.1588546
CALIENTE SUBSTATION,31.8261084,-106.2505333
GUADALUPE SUBSTATION,35.1007609,-105.0191698
TOLK SUBSTATION,34.1810967,-102.5708925
OASIS SUBSTATION,34.3028542,-103.3380056
AMRAD SUBSTATION,32.5193876,-106.1381686
EDDY HVDC TIE,32.814303,-104.2398521
POTTER COUNTY INTERCHANGE,35.3102787,-101.9229098
STONEGATE SUBSTATION,29.6792488,-98.4548739
PINK SUBSTATION,35.2287294,-97.1598588
BANDERA ROAD SUBSTATION,29.4987428,-98.6098512
INDIAN HILL SUBSTATION,35.2914364,-97.4598132
FREDERICKSBURG ROAD SUBSTATION,29.5029057,-98.5599021
CHULIE SUBSTATION,29.5112259,-98.4771356
DISCOVERY SUBSTATION,35.4049988,-97.4630676
FOSTER SUBSTATION,35.4074976,-97.4641608
OAK CREEK SUBSTATION,35.3812203,-97.4762023
FORT SMITH SUBSTATION,35.2996549,-94.4302234
MASSARD SUBSTATION,35.357815,-94.334806
ALMA SUBSTATION,35.4825845,-94.229767
TWIN BRIDGES SUBSTATION,35.4607634,-94.2896865
SIMMONS SUBSTATION,35.493377,-94.150668
CHAMBERS SPRINGS SUBSTATION,36.1084132,-94.4342439
STATE LINE SUBSTATION,35.3224433,-94.433463
BATTLEFIELD SUBSTATION,35.3157151,-94.3927421
ARKOMA SUBSTATION,35.3641198,-94.4288509
OAK PARK SUBSTATION,35.4288489,-94.387989
PARK VIEW SUBSTATION,35.3791651,-94.3750937
THIRD STREET SUBSTATION,35.3913574,-94.4265676
CARNAL SUBSTATION,35.3268359,-94.3824907
CAVANAUGH SUBSTATION,35.3232072,-94.4192432
BELLE AVE SUBSTATION,35.3813858,-94.4049248
COLONY SUBSTATION,35.3149629,-94.4055797
SOUTH SIDE SUBSTATION,35.3427015,-94.4087234
NORTH DC-TIE,34.0851005,-99.1833565
LAWTON EASTSIDE,34.6037753,-98.3145577
RILEY SUBSTATION,34.0852615,-99.1453349
COMANCHE,34.5436294,-98.3224236
OKLAUNION NORTH SUBSTATION,34.0861611,-99.180768
OKLAUNION SOUTH SUBSTATION,34.0823289,-99.1807701
EAST DC-TIE,33.0583032,-94.8440526
WELSH SUBSTATION,33.0551859,-94.8373889
NORTHWEST TEXARKANA SUBSTATION,33.4883766,-94.1760513
LONGWOOD SUBSTATION,32.5853311,-93.9938383
DIANA SUBSTATION,32.7443654,-94.6983075
SOUTHWEST SHREVEPORT SUBSTATION,32.4046996,-93.8645305
BLANCHARD SUBSTATION,32.6245249,-93.9178342
OAK SUBSTATION,32.5587347,-93.9886353
LEANDER SUBSTATION,30.5857052,-97.841613
VBI SUBSTATION,35.4721031,-94.3383778
VAN BUREN SUBSTATION,35.4733279,-94.3343586
ADABELL SUBSTATION,35.4534936,-94.35916
SANTA FE SUBSTATION,31.7525027,-106.488824
J STREET SUBSTATION,35.3967554,-94.4213357
BARLING SUBSTATION,35.3263538,-94.3242191
WHITESIDE SUBSTATION,35.4223883,-94.3302456
ARCADIA SUBSTATION,35.6899876,-97.3156521
NORTHWEST SUBSTATION,35.6363864,-97.645471
REDBUD SUBSTATION,35.6868905,-97.2267696
SPRING CREEK SUBSTATION,35.7429104,-97.6535598
MITCH SUBSTATION,35.6885632,-97.5134093
SEMINOLE SUBSTATION,34.9661067,-96.7319517
SUNNYSIDE SUBSTATION,34.1855764,-97.2413044
PECAN CREEK SUBSTATION,35.7167326,-95.4680467
TATONGA SUBSTATION,35.931912,-98.753885
WOODWARD DISTRICT SUBSTATION,36.3116086,-99.3688374
VICI SUBSTATION,36.1462097,-99.1855394
JINSKAMO SUBSTATION,35.6133468,-97.2507642
HIGHLAND SUBSTATION,35.2170463,-97.0530496
CLARKSVILLE SUBSTATION,35.8153889,-95.5493988
ONETA SUBSTATION,36.0117408,-95.7027996
KIAMICHI STATION,34.6833224,-95.9321384
KIOWA SWITCH,34.6926556,-95.9222553
GREEN COUNTRY SUBSTATION,35.9840443,-95.935323
RIVERSIDE SUBSTATION,35.9968532,-95.9603149
COGENTRIX SWITCHYARD,35.9890167,-95.9474922
CATOOSA SUBSTATION,36.1715625,-95.7538752
TULSA NORTH #2 SUBSTATION,36.2799532,-95.980541
TULSA NORTH SUBSTATION,36.2824537,-95.9810065
